10000 100000
9798 7931 11
3458 7757 17
9597 838 53
2091 8421 19
9266 2050 40
787 7158 11
9668 2979 19
865 7224 97
4302 889 74
113 3787 33
682 5752 92
6310 4020 43
7545 3270 87
5948 3113 38
1696 8755 69
6754 3545 69
1035 1007 37
7435 5470 10
2932 3009 65
2201 1532 74
5419 854 2
8423 7572 37
2742 3135 33
5419 6591 10
6956 5937 16
7897 6020 81
6429 8870 3
8156 7377 87
1117 1809 86
5185 1307 85
1470 9241 79
8800 701 25
2686 4901 32
9488 1324 30
347 474 3
8500 6910 74
4148 2296 68
7162 9499 74
4911 8184 46
4598 4033 49
9195 7711 56
2784 5348 30
4599 7525 37
996 2512 87
4100 47 95
7799 5172 33
4684 1641 61
5734 723 97
6530 1855 2
9465 3517 45
900 2176 67
6136 3249 96
8534 132 19
3389 505 5
4008 1071 87
2102 5399 80
5959 1335 15
73 7302 54
3153 6517 39
8012 6759 28
7168 5506 43
3221 7830 21
5382 9793 16
9782 4922 99
5788 2688 71
4927 7487 74
6748 9002 24
6836 4025 7
700 9334 96
5816 9308 26
9553 4596 62
3711 7442 90
1356 9768 17
6252 7399 95
1229 1663 55
2172 8683 27
8947 8040 63
9473 5256 19
6091 9670 21
7336 1243 12
5500 6934 41
3729 1749 2
427 2303 34
6776 9465 71
700 2181 78
4324 9855 32
9662 6447 39
6825 1301 72
7127 4369 74
1470 4544 23
5737 6608 74
9871 6949 7
6629 9900 44
9793 1653 52
8693 3427 69
9176 4554 51
9160 2047 18
7998 2242 71
6184 7878 96
1460 4593 88
7591 6804 38
8916 1008 83
4841 4348 27
3805 6552 9
4832 7931 15
7426 8235 28
275 2315 38
9975 1851 82
9078 5815 28
9293 3048 7
787 4810 62
6558 160 64
1754 6865 62
243 6469 29
258 2835 43
2907 5585 90
1788 3133 63
1916 9248 38
5673 8050 4
9397 9927 12
3642 9366 3
5660 3152 6
7399 4277 44
494 7178 83
843 9319 65
8230 7798 92
9523 659 99
544 4350 88
6340 5270 34
1042 8613 98
8227 2508 31
5761 8593 37
1175 7203 18
4426 2216 82
9108 1939 64
8148 6572 19
1448 7775 80
2654 2012 89
1262 5526 55
9608 1001 29
2139 980 36
1725 4609 76
1070 4413 82
941 4582 22
5734 4300 9
1470 3776 2
33 404 69
1833 5373 29
8680 8766 21
6081 8501 7
8726 5758 60
7669 1731 40
9185 1926 60
9063 5763 89
6053 969 4
8599 2390 85
3802 2248 28
978 5642 63
3962 6333 12
804 870 33
3527 1780 71
6372 6399 8
2931 3259 98
8858 5724 83
9925 5832 73
9520 673 32
6243 6159 3
125 6510 28
1035 693 63
9217 6758 72
7047 519 59
3769 4945 31
898 9781 50
2132 9441 99
8930 8061 34
8639 1377 41
6563 5760 94
7860 6114 80
1634 9701 27
9556 1376 98
2169 336 66
7511 9506 19
8465 8767 19
8577 8145 3
8043 6745 83
6341 4767 46
3154 3048 58
2750 985 42
4878 8672 6
2618 3527 91
7596 6917 39
8994 5535 43
7326 5147 72
9521 6060 66
7430 2752 96
9378 6393 49
327 8635 10
9056 6367 49
960 8960 94
7250 7655 77
1373 9102 58
9971 7431 59
8828 1501 7
5866 5242 74
6806 4286 0
2085 5650 43
1599 8975 28
2483 8739 5
9561 4168 83
932 684 71
648 6491 33
2335 6691 60
991 523 64
5951 3807 20
643 5841 10
8200 1438 56
8281 2694 49
7405 9787 76
8096 8689 54
774 8623 30
9407 467 14
858 1104 14
3259 3538 38
9936 7085 73
2927 790 69
2450 7973 81
3276 3957 79
678 8504 14
9476 4083 21
2371 9696 96
2783 260 11
3308 1151 45
5322 4081 49
7172 6854 47
7631 3782 14
5852 9008 25
1323 7656 69
2719 1210 66
482 8593 63
4238 7446 92
7703 6494 41
7273 9098 0
1132 5981 97
6630 5998 49
5473 5145 37
2703 1952 37
1335 1410 99
6895 4326 87
5224 5159 80
3942 394 70
9913 181 47
6801 41 44
1412 1090 25
5910 3412 1
3696 1042 24
6993 7979 77
7350 2353 86
2515 647 34
7549 3436 54
3786 9153 1
173 376 48
3145 9132 36
4025 6419 63
2917 2324 47
1579 5884 39
2093 9448 31
2498 1414 4
3707 7502 36
294 3889 85
4050 1036 32
4216 2684 84
169 1817 48
2847 4184 1
9786 8117 86
3828 6835 30
1739 141 25
2078 6288 39
5462 5546 15
6411 3880 58
3987 2954 47
3107 4610 14
6579 5068 64
8541 3271 62
5994 9744 9
6934 5882 97
615 9984 17
1676 9333 4
965 511 59
5958 7090 87
2445 842 49
4804 6308 71
1213 6331 99
6244 2078 56
6851 5419 53
8655 2018 90
9686 110 46
4648 4680 33
3655 1948 33
1190 4089 94
7464 1755 53
6236 8543 25
47 7961 1
7155 9009 17
3193 1761 44
3473 4146 93
7440 7106 25
7604 2483 4
6197 927 9
4712 309 30
3146 5804 85
788 4704 37
3084 2601 98
8902 5939 37
6729 3059 71
5963 6666 69
3480 3694 83
8971 8280 71
3471 8381 50
5052 8238 86
4585 9487 3
7797 4182 42
3256 2787 39
5615 2170 3
273 1248 73
1344 1220 59
5234 6965 84
4785 8034 58
5921 9977 7
7108 3113 42
6090 9415 1
390 1707 96
3867 3920 58
6655 8452 90
1274 7167 3
4328 9589 1
7786 7881 10
741 1921 40
1686 3474 21
5438 415 16
6249 1717 83
8046 7540 48
1629 6708 9
8084 7305 68
307 6608 69
1423 975 1
829 4836 69
6346 7766 99
8604 9055 55
9263 9331 43
7239 8902 52
3516 3976 7
1667 6149 73
782 9555 5
678 236 2
9092 3990 20
1183 8553 42
9665 3419 96
3924 5252 57
8385 8692 51
8275 3817 37
3736 6790 44
5726 7615 41
5837 7392 45
1522 4358 43
4202 9002 26
940 3985 11
1661 9157 64
7113 4605 89
7754 3474 60
1001 294 28
9267 7005 67
1618 2296 22
3336 8792 83
2579 724 39
9759 1994 72
5605 6398 27
6270 4992 0
5634 8954 22
550 629 36
7122 736 2
7190 7893 55
